"publication_series","publication_date","release_time","synopsis","contact_details","frequency","reason_for_change","publication_id","theme_id","publication_day_released","datestr","epoch"
"Prescribing Statistics - National Therapeutic Indicators Data Visualisation, 2024 10 October Release","2024-10-00","","Data Visualisation of National Therapeutic Indicators, which contains Health Board and GP Practice information. The indicator data are updated quarterly.","David Scott
tel. 01312756258
e-mail: david.scott7@phs.scot
Rob Gibbs
tel. 01312756336
e-mail: rob.gibbs2@phs.scot
Paul Paxton
tel. 0131 314 1039
e-mail: paul.paxton2@phs.scot","Quarterly","Not applicable",3002,8001,False,"2024-10-01",1727740800000
"A&E Activity & Waiting Times, Release 20230905","2023-09-05","09:30","Attendances trend - national, board and hospital level, Compliance - 4 hours standard at national, board and hospital level, 4 / 8 / 12 hour waiting times, source of referral, demographic data, time of day, day of week and discharge destination at national, board and hospital level. PHS plan to include further information on multiple attendances, attendance rates and admissions following A&E attendance.","Kathy McGregor
tel. 0131 275 6551
e-mail: k.mcgregor2@nhs.net
Ewout Jaspers
tel. 0131 314 1707
e-mail: ejaspers@nhs.net
Emma McNair
tel. 0131 275 6668
e-mail: emma.mcnair@phs.scot","Monthly","Not applicable",3007,8001,True,"2023-09-05",1693872000000
"A&E Activity & Waiting Times, A&E Activity & Waiting Times","2023-10-03","09:30","Attendances trend - national, board and hospital level, Compliance - 4 hours standard at national, board and hospital level, 4 / 8 / 12 hour waiting times, source of referral, demographic data, time of day, day of week and discharge destination at national, board and hospital level. Additional info on multiple attendances, rates, and admissions to be added.","Kathy McGregor
tel. 0131 275 6551
e-mail: katherine.mcgregor@phs.scot
Ewout Jaspers
tel. 01312756551
e-mail: ewout.jaspers@phs.scot
Emma McNair
tel. 0131 275 6668
e-mail: emma.mcnair@phs.scot","Monthly","Not applicable",3007,8001,True,"2023-10-03",1696291200000
"A&E Activity & Waiting Times, A&E Activity & Waiting Times","2023-11-07","09:30","Attendances trend - national, board and hospital level, Compliance - 4 hours standard at national, board and hospital level, 4 / 8 / 12 hour waiting times, source of referral, demographic data, time of day, day of week and discharge destination at national, board and hospital level.","Kathy McGregor
tel. 0131 275 6551
e-mail: katherine.mcgregor@phs.scot
Ewout Jaspers
tel. 01312756551
e-mail: ewout.jaspers@phs.scot
Emma McNair
tel. 0131 275 6668
e-mail: emma.mcnair@phs.scot","Monthly","Not applicable",3007,8001,True,"2023-11-07",1699315200000
"A&E Activity & Waiting Times, A&E Activity & Waiting Times","2023-12-05","09:30","Attendances trend - national, board and hospital level, Compliance - 4 hours standard at national, board and hospital level, 4 / 8 / 12 hour waiting times, source of referral, demographic data, time of day, day of week and discharge destination at national, board and hospital level. Additional info on multiple attendances, rates, and admissions to be added.","Kathy McGregor
tel. 0131 275 6551
e-mail: katherine.mcgregor@phs.scot
Ewout Jaspers
tel. 01312756551
e-mail: ewout.jaspers@phs.scot
Emma McNair
tel. 0131 275 6668
e-mail: emma.mcnair@phs.scot","Monthly","Not applicable",3007,8001,True,"2023-12-05",1701734400000
"Cancelled Planned Operations, September 2023 Release","2023-09-05","09:30","Statistics on NHS Board/Hospital cancellations of operations for patients who have been booked for an elective scheduled theatre operation.","Roisin Farrell
tel. 0131 314 1029
e-mail: roisin.farrell@phs.scot
Maiana Sanjuan
tel. 0131 314 1029
e-mail: maiana.sanjuan@phs.scot
Azhar Rahman
tel. 0141 282 2173
e-mail: azhar.rahman@phs.scot","Monthly","Finalised",3005,8001,True,"2023-09-05",1693872000000
"NHS Performs - Weekly Update of Emergency Department Activity and Waiting Time Statistics, Weekly Update of Emergency Department Activity and Waiting Time Statistics","2023-09-05","09:30","This release of NHS Performs includes official statistics collected by PHS on attendances at Emergency Departments (EDs) across Scotland. The information presented in this release includes the number of attendances and 4, 8 and 12 hour waits at EDs.","Kathy McGregor
tel. 0131 275 6551
e-mail: katherine.mcgregor@phs.scot
Emma McNair
tel. 0131 275 6668
e-mail: emma.mcnair@phs.scot
Ewout Jaspers
tel. 0131 314 1707
e-mail: ewout.jaspers@phs.scot","Weekly","Not applicable",3005,8001,True,"2023-09-05",1693872000000
"Psychological Therapies Waiting Times, September 2023 Release","2023-09-05","09:30","Waiting times for Psychological Therapies in Scotland. From December 2014 patients should have to wait no more than 18 weeks from referral to treatment. This publication will show progress towards that standard.","Psychological Therapies
tel. 0131 275 7186
e-mail: phs.psychtherapies@phs.scot
Santiago Nieva
tel. 0131 275 6034
e-mail: santiago.nieva@phs.scot
Mhairi Boyd
e-mail: mhairi.boyd@phs.scot
Joana Bittencourt Silvestre
e-mail: joana.bittencourtsilvestre@phs.scot
Joanne Collins
e-mail: joanne.collins2@phs.scot","Quarterly","Not applicable",3005,8001,True,"2023-09-05",1693872000000
"General Practice - Demographics Data Visualisation, September 2023","2023-09-05","09:30","Data visualisation of GP Practice demographics, at practice, cluster, Board and Scotland level. Previously available in the PCI (Primary Care Information) dashboards.","David Redpath
tel. 0131 275 7498
e-mail: david.redpath@phs.scot","Quarterly","Not applicable",3005,8001,True,"2023-09-05",1693872000000
"National respiratory infection and COVID-19 statistics, Release 20230907","2023-09-07","09:30","This weekly release by Public Health Scotland presents epidemiological information on respiratory infection activity, including COVID-19, across Scotland. Between 01 June and 05 October 2023, PHS has moved to dashboard only updates for this release and are reducing the frequency of the accompanying narrative report. A written report will accompany the dashboard update on 22 June, 20 July, 17 August, 31 August and 14 September 2023.","Respiratory and COVID-19 Surveillance
e-mail: phs.flu@phs.scot
Respiratory and COVID-19 Surveillance
e-mail: phs.covid19data&analytics@phs.scot","Weekly","Not applicable",3005,8001,True,"2023-09-07",1694044800000
"Chronic Pain Waiting Times, September 2023 release","2023-09-12","09:30","Update of quarterly Waiting Times Statistics for Chronic Pain Waiting Times.","Natalie Polack
tel. 0131 275 7274
e-mail: natalie.polack@phs.scot
Tracey Steedman
tel. 0131 275 6179
e-mail: tracey.steedman@phs.scot","Quarterly","Finalised publication date",3005,8001,True,"2023-09-12",1694476800000
"NHS Performs - Weekly Update of Emergency Department Activity and Waiting Time Statistics, Weekly Update of Emergency Department Activity and Waiting Time Statistics","2023-09-12","09:30","This release of NHS Performs includes official statistics collected by PHS on attendances at Emergency Departments (EDs) across Scotland. The information presented in this release includes the number of attendances and 4, 8 and 12 hour waits at EDs.","Kathy McGregor
tel. 0131 275 6551
e-mail: katherine.mcgregor@phs.scot
Emma McNair
tel. 0131 275 6668
e-mail: emma.mcnair@phs.scot
Ewout Jaspers
tel. 0131 314 1707
e-mail: ewout.jaspers@phs.scot","Weekly","Not applicable",3005,8001,True,"2023-09-12",1694476800000
"National respiratory infection and COVID-19 statistics, Release 20230914","2023-09-14","09:30","This weekly release by Public Health Scotland presents epidemiological information on respiratory infection activity, including COVID-19, across Scotland. Between 01 June and 05 October 2023, PHS has moved to dashboard only updates for this release and are reducing the frequency of the accompanying narrative report. A written report will accompany the dashboard update on 22 June, 20 July, 17 August, 31 August and 14 September 2023.","Respiratory and COVID-19 Surveillance
e-mail: phs.flu@phs.scot
Respiratory and COVID-19 Surveillance
e-mail: phs.covid19data&analytics@phs.scot","Weekly","Not applicable",3005,8001,True,"2023-09-14",1694649600000
"Provision of Injecting Equipment in Scotland, 2022/23","2023-09-19","09:30","This publication reports on the provision of sterile injecting equipment to people who use drugs. Data from 2009/10 onwards are presented in the publication.","Nicole Jarvie
tel. 0141 300 1326
e-mail: nicole.jarvie@phs.scot","Annual","",3005,8001,True,"2023-09-19",1695081600000
"Prescribing Statistics - Dispenser Payments and Prescription Cost Analysis Report, 2022/23 2023 September Release","2023-09-19","09:30","Remuneration of delivery of services in community pharmacies, including number of items dispensed and their reimbursement costs, in Scotland for the financial year 202/23. Since 2019/20, this publication is a combination of previously separate annual publications on remuneration of services and prescription cost analysis.","Lynne Jarvis
tel. 01312756424
e-mail: lynne.jarvis@phs.scot
Andrew Johnston
tel. 0141 282 2080
e-mail: andrew.johnston2@phs.scot
Graeme Paulley
tel. 0141 282 2930
e-mail: graeme.paulley@phs.scot
Karen Gronkowski
tel. 01412822206
e-mail: karen.gronkowski@phs.scot","Annual","To align with last year's timing",3005,8001,True,"2023-09-19",1695081600000
"Allied Health Professionals - Musculoskeletal Waiting Times, September 2023 release","2023-09-19","09:30","Waiting times for AHP MSK in Scotland. From 1st April 2016, the maximum wait for AHP MSK Services from referral to first clinical out-patient appointment will be 4 weeks (for 90% of patients). First clinical appointment may be by telephone, video or face to face. This publication will show progress towards that target.","Diane Barrie
tel. 0131-314-1203
e-mail: diane.barrie@phs.scot
Tracey Steedman
tel. 0131 275 6179
e-mail: tracey.steedman@phs.scot","Quarterly","Not applicable",3005,8001,True,"2023-09-19",1695081600000
"NHS Performs - Weekly Update of Emergency Department Activity and Waiting Time Statistics, Weekly Update of Emergency Department Activity and Waiting Time Statistics","2023-09-19","09:30","This release of NHS Performs includes official statistics collected by PHS on attendances at Emergency Departments (EDs) across Scotland. The information presented in this release includes the number of attendances and 4, 8 and 12 hour waits at EDs.","Kathy McGregor
tel. 0131 275 6551
e-mail: katherine.mcgregor@phs.scot
Emma McNair
tel. 0131 275 6668
e-mail: emma.mcnair@phs.scot
Ewout Jaspers
tel. 0131 314 1707
e-mail: ewout.jaspers@phs.scot","Weekly","Not applicable",3005,8001,True,"2023-09-19",1695081600000
"National respiratory infection and COVID-19 statistics, Release 20230921","2023-09-21","09:30","This weekly release by Public Health Scotland presents epidemiological information on respiratory infection activity, including COVID-19, across Scotland. Between 01 June and 05 October 2023, PHS has moved to dashboard only updates for this release and are reducing the frequency of the accompanying narrative report. A written report will accompany the dashboard update on 22 June, 20 July, 17 August, 31 August and 14 September 2023.","Respiratory and COVID-19 Surveillance
e-mail: phs.flu@phs.scot
Respiratory and COVID-19 Surveillance
e-mail: phs.covid19data&analytics@phs.scot","Weekly","Not applicable",3005,8001,True,"2023-09-21",1695254400000
"Prescribing Statistics - Monthly Prescribing Activity Data, 2023 09 September Release","2023-09-26","09:30","A dashboard will be available which covers practice level prescribing for the latest month.","David Scott
tel. 01312756258
e-mail: david.scott7@phs.scot
Rob Gibbs
tel. 0131 275 6336
e-mail: rob.gibbs2@phs.scot
PHS Prescribing
tel. 0131 275 6000
e-mail: phs.prescribing@phs.scot","Monthly","Delays to the underlying data being available.",3005,8001,True,"2023-09-26",1695686400000
"NHS Performs - Weekly Update of Emergency Department Activity and Waiting Time Statistics, Weekly Update of Emergency Department Activity and Waiting Time Statistics","2023-09-26","09:30","This release of NHS Performs includes official statistics collected by PHS on attendances at Emergency Departments (EDs) across Scotland. The information presented in this release includes the number of attendances and 4, 8 and 12 hour waits at EDs.","Kathy McGregor
tel. 0131 275 6551
e-mail: katherine.mcgregor@phs.scot
Emma McNair
tel. 0131 275 6668
e-mail: emma.mcnair@phs.scot
Ewout Jaspers
tel. 0131 314 1707
e-mail: ewout.jaspers@phs.scot","Weekly","Not applicable",3005,8001,True,"2023-09-26",1695686400000
